AMVEND	AMNAME	AMADR1	AMADR2	AMADR3	AMTELE	AMFRGT	actual_term
81533	EXPRESS EMPLOYMENT PROFESSION	P O BOX 535434		ATLANTA GA 30353-5434	0	0	NET
81535	BENEFITS ASSIST INC	P O BOX 31823		KNOXVILLE TN 37930-1823	8657692800	0	NET  
81536	MELISSA M MILLS	1925 VALLEY PARK DRIVE		NASHVILLE TN 37216	9317032087	0	NET
81537	MADISON LOCK COMPANY	P O BOX 150883		NASHVILLE TN 37215	6157155523	0	NET  
81538	HERMITAGE KITCHEN GALLERY LLC	2020 FIELDSTONE FARMS	PKWY STE 900-108	FRANKLIN, TN 37069       	6154847921	0	NET 15Days
99991	MISC 9 CODES / CITY COUNTER	531 LAFAYETTE ST		NASHVILLE TN 37203	6158433300	0	NET
99992	MISC 9 CODES / LIGHTING DEPT	531 LAFAYETTE STREET		NASHVILLE TN 37203	6158433300	0	NET
99993	MISC 9 CODES / BATH DEPT	531 LAFAYETTE STREET		NASHVILLE TN 37203	6158433300	0	NET
99994	MISC 9 CODES / APPLIANCE DEPT	531 LAFAYETTE STREET		NASHVILLE TN 37203	6158433300	0	NET
99995	MISC 9 CODES / KITCHEN DEPT	531 LAFAYETTE STREET		NASHVILLE TN 37203	6158433300	0	NET
99999	MISC 9 CODES / CORPORATE	531 LAFAYETTE ST		NASHVILLE TN 37203	615843330	0	NET
